zaman_damgasi,gecen_sure_ms,olay,seq_no,deneme,aciklama
23:48:38.182,0.0,SEND,0,1,
23:48:38.191,8.861,ACK_ALINDI,0,1,
23:48:38.193,10.872,SEND,1,1,
23:48:38.193,10.872,ACK_ALINDI,1,1,
23:48:38.193,10.872,SEND,2,1,
23:48:38.193,10.872,ACK_ALINDI,2,1,
23:48:38.193,10.872,SEND,3,1,
23:48:38.193,10.872,ACK_ALINDI,3,1,
23:48:38.193,10.872,SEND,4,1,
23:48:38.193,10.872,ACK_ALINDI,4,1,
23:48:38.193,10.872,SEND,5,1,
23:48:38.193,10.872,ACK_ALINDI,5,1,
23:48:38.193,10.872,SEND,6,1,
23:48:38.197,14.665,ACK_ALINDI,6,1,
23:48:38.197,14.665,SEND,7,1,
23:48:38.197,14.665,ACK_ALINDI,7,1,
23:48:38.197,14.665,SEND,8,1,
23:48:38.268,85.832,ACK_ALINDI,8,1,
23:48:38.268,85.832,SEND,9,1,
23:48:38.268,85.832,ACK_ALINDI,9,1,
23:48:38.268,85.832,SEND,10,1,
23:48:38.270,87.854,ACK_ALINDI,10,1,
23:48:38.270,87.854,SEND,11,1,
23:48:39.270,1088.479,TIMEOUT,11,1,
23:48:39.270,1088.479,RETRANSMIT,11,2,
23:48:39.273,1091.161,ACK_ALINDI,11,2,
23:48:39.273,1091.161,SEND,12,1,
23:48:39.276,1094.309,ACK_ALINDI,12,1,
23:48:39.276,1094.309,SEND,13,1,
23:48:39.276,1094.309,ACK_ALINDI,13,1,
23:48:39.276,1094.309,SEND,14,1,
23:48:39.294,1111.843,ACK_ALINDI,14,1,
23:48:39.295,1113.415,SEND,15,1,
23:48:39.328,1145.94,ACK_ALINDI,15,1,
23:48:39.328,1145.94,SEND,16,1,
23:48:39.328,1145.94,ACK_ALINDI,16,1,
23:48:39.328,1145.94,SEND,17,1,
23:48:39.332,1150.226,ACK_ALINDI,17,1,
23:48:39.332,1150.226,SEND,18,1,
23:48:39.332,1150.226,ACK_ALINDI,18,1,
23:48:39.334,1152.37,SEND,19,1,
23:48:39.335,1152.37,ACK_ALINDI,19,1,
23:48:39.335,1153.543,SEND,20,1,
23:48:39.335,1153.543,ACK_ALINDI,20,1,
23:48:39.336,1154.549,SEND,21,1,
23:48:39.337,1155.09,ACK_ALINDI,21,1,
23:48:39.337,1155.09,SEND,22,1,
23:48:39.337,1155.09,ACK_ALINDI,22,1,
23:48:39.337,1155.09,SEND,23,1,
23:48:39.337,1155.09,ACK_ALINDI,23,1,
23:48:39.337,1155.09,SEND,24,1,
23:48:39.341,1158.804,ACK_ALINDI,24,1,
23:48:39.341,1158.804,SEND,25,1,
23:48:39.346,1164.003,ACK_ALINDI,25,1,
23:48:39.346,1164.003,SEND,26,1,
23:48:39.347,1164.886,ACK_ALINDI,26,1,
23:48:39.347,1164.886,SEND,27,1,
23:48:39.348,1165.766,ACK_ALINDI,27,1,
23:48:39.348,1165.766,SEND,28,1,
23:48:39.348,1165.766,ACK_ALINDI,28,1,
23:48:39.348,1165.766,SEND,29,1,
23:48:40.353,2170.713,TIMEOUT,29,1,
23:48:40.353,2170.713,RETRANSMIT,29,2,
23:48:40.354,2172.525,ACK_ALINDI,29,2,
23:48:40.354,2172.525,SEND,30,1,
23:48:40.354,2172.525,ACK_ALINDI,30,1,
23:48:40.356,2174.544,SEND,31,1,
23:48:40.356,2174.544,ACK_ALINDI,31,1,
23:48:40.356,2174.544,SEND,32,1,
23:48:40.356,2174.544,ACK_ALINDI,32,1,
23:48:40.356,2174.544,SEND,33,1,
23:48:40.356,2174.544,ACK_ALINDI,33,1,
23:48:40.356,2174.544,SEND,34,1,
23:48:40.374,2192.175,ACK_ALINDI,34,1,
23:48:40.374,2192.175,SEND,35,1,
23:48:40.378,2196.478,ACK_ALINDI,35,1,
23:48:40.378,2196.478,SEND,36,1,
23:48:40.380,2198.499,ACK_ALINDI,36,1,
23:48:40.380,2198.499,SEND,37,1,
23:48:40.382,2199.896,ACK_ALINDI,37,1,
23:48:40.382,2199.896,SEND,38,1,
23:48:40.383,2200.742,ACK_ALINDI,38,1,
23:48:40.383,2200.742,SEND,39,1,
23:48:40.384,2202.01,ACK_ALINDI,39,1,
23:48:40.384,2202.01,SEND,40,1,
23:48:41.398,3216.447,TIMEOUT,40,1,
23:48:41.401,3219.056,RETRANSMIT,40,2,
23:48:41.401,3219.056,ACK_ALINDI,40,2,
23:48:41.401,3219.056,SEND,41,1,
23:48:41.403,3220.628,ACK_ALINDI,41,1,
23:48:41.403,3220.628,SEND,42,1,
23:48:41.403,3220.628,ACK_ALINDI,42,1,
23:48:41.403,3220.628,SEND,43,1,
23:48:41.404,3222.185,ACK_ALINDI,43,1,
23:48:41.404,3222.185,SEND,44,1,
23:48:41.404,3222.185,ACK_ALINDI,44,1,
23:48:41.404,3222.185,SEND,45,1,
23:48:41.404,3222.185,ACK_ALINDI,45,1,
23:48:41.404,3222.185,SEND,46,1,
23:48:41.407,3225.406,ACK_ALINDI,46,1,
23:48:41.407,3225.406,SEND,47,1,
23:48:41.413,3230.793,ACK_ALINDI,47,1,
23:48:41.413,3230.793,SEND,48,1,
23:48:41.415,3233.385,ACK_ALINDI,48,1,
23:48:41.415,3233.385,SEND,49,1,
23:48:41.415,3233.385,ACK_ALINDI,49,1,
23:48:41.416,3234.129,SEND,50,1,
23:48:41.417,3234.642,ACK_ALINDI,50,1,
23:48:41.417,3234.642,SEND,51,1,
23:48:41.417,3234.642,ACK_ALINDI,51,1,
23:48:41.417,3234.642,SEND,52,1,
23:48:41.418,3236.13,ACK_ALINDI,52,1,
23:48:41.418,3236.13,SEND,53,1,
23:48:41.418,3236.13,ACK_ALINDI,53,1,
23:48:41.418,3236.13,SEND,54,1,
23:48:41.419,3237.499,ACK_ALINDI,54,1,
23:48:41.419,3237.499,SEND,55,1,
23:48:41.421,3239.137,ACK_ALINDI,55,1,
23:48:41.421,3239.137,SEND,56,1,
23:48:41.421,3239.137,ACK_ALINDI,56,1,
23:48:41.421,3239.137,SEND,57,1,
23:48:42.436,4254.489,TIMEOUT,57,1,
23:48:42.436,4254.489,RETRANSMIT,57,2,
23:48:42.436,4254.489,ACK_ALINDI,57,2,
23:48:42.436,4254.489,SEND,58,1,
23:48:42.440,4258.039,ACK_ALINDI,58,1,
23:48:42.440,4258.039,SEND,59,1,
23:48:42.440,4258.039,ACK_ALINDI,59,1,
23:48:42.440,4258.039,SEND,60,1,
23:48:42.440,4258.039,ACK_ALINDI,60,1,
23:48:42.440,4258.039,SEND,61,1,
23:48:42.440,4258.039,ACK_ALINDI,61,1,
23:48:42.443,4261.596,SEND,62,1,
23:48:42.453,4271.169,ACK_ALINDI,62,1,
23:48:42.453,4271.169,SEND,63,1,
23:48:42.466,4283.827,ACK_ALINDI,63,1,
23:48:42.466,4283.827,SEND,64,1,
23:48:42.466,4283.827,ACK_ALINDI,64,1,
23:48:42.466,4283.827,SEND,65,1,
23:48:42.468,4285.85,ACK_ALINDI,65,1,
23:48:42.468,4285.85,SEND,66,1,
23:48:42.468,4285.85,ACK_ALINDI,66,1,
23:48:42.468,4285.85,SEND,67,1,
23:48:42.483,4301.238,ACK_ALINDI,67,1,
23:48:42.483,4301.238,SEND,68,1,
23:48:42.483,4301.238,ACK_ALINDI,68,1,
23:48:42.483,4301.238,SEND,69,1,
23:48:42.483,4301.238,ACK_ALINDI,69,1,
23:48:42.483,4301.238,SEND,70,1,
23:48:42.485,4303.313,ACK_ALINDI,70,1,
23:48:42.485,4303.313,SEND,71,1,
23:48:42.486,4304.114,ACK_ALINDI,71,1,
23:48:42.486,4304.114,SEND,72,1,
23:48:42.486,4304.114,ACK_ALINDI,72,1,
23:48:42.486,4304.114,SEND,73,1,
23:48:42.487,4305.544,ACK_ALINDI,73,1,
23:48:42.487,4305.544,SEND,74,1,
23:48:42.494,4312.177,ACK_ALINDI,74,1,
23:48:42.494,4312.177,SEND,75,1,
23:48:43.504,5322.15,TIMEOUT,75,1,
23:48:43.504,5322.15,RETRANSMIT,75,2,
23:48:43.506,5324.532,ACK_ALINDI,75,2,
23:48:43.506,5324.532,SEND,76,1,
23:48:43.506,5324.532,ACK_ALINDI,76,1,
23:48:43.506,5324.532,SEND,77,1,
23:48:43.506,5324.532,ACK_ALINDI,77,1,
23:48:43.506,5324.532,SEND,78,1,
23:48:43.506,5324.532,ACK_ALINDI,78,1,
23:48:43.506,5324.532,SEND,79,1,
23:48:43.510,5328.173,ACK_ALINDI,79,1,
23:48:43.510,5328.173,SEND,80,1,
23:48:43.515,5333.04,ACK_ALINDI,80,1,
23:48:43.515,5333.04,SEND,81,1,
23:48:43.528,5346.474,ACK_ALINDI,81,1,
23:48:43.528,5346.474,SEND,82,1,
23:48:43.528,5346.474,ACK_ALINDI,82,1,
23:48:43.529,5347.38,SEND,83,1,
23:48:43.529,5347.38,ACK_ALINDI,83,1,
23:48:43.529,5347.38,SEND,84,1,
23:48:44.538,6355.766,TIMEOUT,84,1,
23:48:44.538,6355.766,RETRANSMIT,84,2,
23:48:44.540,6358.112,ACK_ALINDI,84,2,
23:48:44.540,6358.112,SEND,85,1,
23:48:44.540,6358.112,ACK_ALINDI,85,1,
23:48:44.540,6358.112,SEND,86,1,
23:48:44.542,6360.134,ACK_ALINDI,86,1,
23:48:44.542,6360.134,SEND,87,1,
23:48:44.542,6360.134,ACK_ALINDI,87,1,
23:48:44.542,6360.134,SEND,88,1,
23:48:44.566,6383.802,ACK_ALINDI,88,1,
23:48:44.566,6383.802,SEND,89,1,
23:48:44.567,6385.371,ACK_ALINDI,89,1,
23:48:44.567,6385.371,SEND,90,1,
23:48:44.569,6386.848,ACK_ALINDI,90,1,
23:48:44.569,6386.848,SEND,91,1,
23:48:44.569,6386.848,ACK_ALINDI,91,1,
23:48:44.570,6386.848,SEND,92,1,
23:48:44.574,6391.685,ACK_ALINDI,92,1,
23:48:44.591,6409.167,SEND,93,1,
23:48:44.598,6416.265,ACK_ALINDI,93,1,
23:48:44.599,6416.893,SEND,94,1,
23:48:44.600,6418.137,ACK_ALINDI,94,1,
23:48:44.600,6418.137,SEND,95,1,
23:48:44.600,6418.137,ACK_ALINDI,95,1,
23:48:44.600,6418.137,SEND,96,1,
23:48:44.602,6420.021,ACK_ALINDI,96,1,
23:48:44.602,6420.021,SEND,97,1,
23:48:44.603,6421.376,ACK_ALINDI,97,1,
23:48:44.603,6421.376,SEND,98,1,
23:48:44.603,6421.376,ACK_ALINDI,98,1,
23:48:44.603,6421.376,SEND,99,1,
23:48:44.604,6422.484,ACK_ALINDI,99,1,
23:48:44.605,6423.153,SEND,100,1,
23:48:44.608,6425.797,ACK_ALINDI,100,1,
23:48:44.608,6426.596,SEND,101,1,
23:48:44.609,6427.441,ACK_ALINDI,101,1,
23:48:44.611,6429.463,SEND,102,1,
23:48:44.612,6430.172,ACK_ALINDI,102,1,
23:48:44.612,6430.172,SEND,103,1,
23:48:44.614,6431.671,ACK_ALINDI,103,1,
23:48:44.614,6431.671,SEND,104,1,
23:48:44.614,6432.512,ACK_ALINDI,104,1,
23:48:44.614,6432.512,SEND,105,1,
23:48:44.616,6433.716,ACK_ALINDI,105,1,
23:48:44.616,6433.716,SEND,106,1,
23:48:44.616,6433.716,ACK_ALINDI,106,1,
23:48:44.616,6433.716,SEND,107,1,
23:48:44.617,6434.698,ACK_ALINDI,107,1,
23:48:44.617,6434.698,SEND,108,1,
23:48:44.617,6435.364,ACK_ALINDI,108,1,
23:48:44.617,6435.364,SEND,109,1,
23:48:44.618,6436.146,ACK_ALINDI,109,1,
