zaman_damgasi,gecen_sure_ms,olay,seq_no,deneme,aciklama
12:05:58.429,0.0,SEND,0,1,
12:05:59.938,1508.948,TIMEOUT,0,1,
12:05:59.939,1509.679,RETRANSMIT,0,2,
12:05:59.975,1545.419,ACK_ALINDI,0,2,
12:05:59.975,1545.419,SEND,1,1,
12:05:59.986,1556.836,ACK_ALINDI,1,1,
12:05:59.986,1556.836,SEND,2,1,
12:05:59.986,1556.836,ACK_ALINDI,2,1,
12:05:59.986,1556.836,SEND,3,1,
12:05:59.988,1559.064,ACK_ALINDI,3,1,
12:05:59.988,1559.064,SEND,4,1,
12:05:59.989,1559.583,ACK_ALINDI,4,1,
12:05:59.989,1559.583,SEND,5,1,
12:05:59.995,1565.398,ACK_ALINDI,5,1,
12:05:59.997,1567.419,SEND,6,1,
12:06:00.002,1572.783,ACK_ALINDI,6,1,
12:06:00.002,1572.783,SEND,7,1,
12:06:00.004,1574.146,ACK_ALINDI,7,1,
12:06:00.004,1574.146,SEND,8,1,
12:06:00.007,1577.516,ACK_ALINDI,8,1,
12:06:00.007,1577.516,SEND,9,1,
12:06:00.016,1586.795,ACK_ALINDI,9,1,
12:06:00.016,1586.795,SEND,10,1,
12:06:00.018,1588.121,ACK_ALINDI,10,1,
12:06:00.018,1589.017,SEND,11,1,
12:06:00.018,1589.017,ACK_ALINDI,11,1,
12:06:00.018,1589.017,SEND,12,1,
12:06:00.022,1593.077,ACK_ALINDI,12,1,
12:06:00.022,1593.077,SEND,13,1,
12:06:00.022,1593.077,ACK_ALINDI,13,1,
12:06:00.022,1593.077,SEND,14,1,
12:06:00.025,1595.145,ACK_ALINDI,14,1,
12:06:00.025,1595.145,SEND,15,1,
12:06:00.029,1599.76,ACK_ALINDI,15,1,
12:06:00.029,1599.76,SEND,16,1,
12:06:00.033,1604.076,ACK_ALINDI,16,1,
12:06:00.033,1604.076,SEND,17,1,
12:06:00.033,1604.076,ACK_ALINDI,17,1,
12:06:00.033,1604.076,SEND,18,1,
12:06:00.035,1605.421,ACK_ALINDI,18,1,
12:06:00.035,1605.421,SEND,19,1,
12:06:00.036,1606.182,ACK_ALINDI,19,1,
12:06:00.036,1606.182,SEND,20,1,
12:06:00.036,1606.692,ACK_ALINDI,20,1,
12:06:00.036,1606.692,SEND,21,1,
12:06:00.036,1606.692,ACK_ALINDI,21,1,
12:06:00.036,1606.692,SEND,22,1,
12:06:00.037,1607.873,ACK_ALINDI,22,1,
12:06:00.037,1607.873,SEND,23,1,
12:06:00.038,1608.852,ACK_ALINDI,23,1,
12:06:00.038,1608.852,SEND,24,1,
12:06:00.040,1610.237,ACK_ALINDI,24,1,
12:06:00.040,1611.047,SEND,25,1,
12:06:00.040,1611.047,ACK_ALINDI,25,1,
12:06:00.040,1611.047,SEND,26,1,
12:06:00.041,1611.721,ACK_ALINDI,26,1,
12:06:00.041,1611.721,SEND,27,1,
12:06:00.041,1611.721,ACK_ALINDI,27,1,
12:06:00.041,1611.721,SEND,28,1,
12:06:00.044,1614.303,ACK_ALINDI,28,1,
12:06:00.044,1614.303,SEND,29,1,
12:06:00.049,1619.172,ACK_ALINDI,29,1,
12:06:00.049,1619.172,SEND,30,1,
12:06:00.051,1621.206,ACK_ALINDI,30,1,
12:06:00.051,1621.982,SEND,31,1,
12:06:00.052,1622.589,ACK_ALINDI,31,1,
12:06:00.052,1622.589,SEND,32,1,
12:06:00.052,1622.589,ACK_ALINDI,32,1,
12:06:00.052,1622.589,SEND,33,1,
12:06:00.054,1624.314,ACK_ALINDI,33,1,
12:06:00.054,1624.314,SEND,34,1,
12:06:00.054,1624.314,ACK_ALINDI,34,1,
12:06:00.055,1625.968,SEND,35,1,
12:06:00.055,1625.968,ACK_ALINDI,35,1,
12:06:00.055,1625.968,SEND,36,1,
12:06:00.055,1625.968,ACK_ALINDI,36,1,
12:06:00.055,1625.968,SEND,37,1,
12:06:00.055,1625.968,ACK_ALINDI,37,1,
12:06:00.055,1625.968,SEND,38,1,
12:06:00.058,1628.528,ACK_ALINDI,38,1,
12:06:00.058,1629.061,SEND,39,1,
12:06:00.058,1629.061,ACK_ALINDI,39,1,
12:06:00.059,1630.078,SEND,40,1,
12:06:00.060,1630.634,ACK_ALINDI,40,1,
12:06:00.060,1630.634,SEND,41,1,
12:06:00.063,1633.193,ACK_ALINDI,41,1,
12:06:00.063,1633.193,SEND,42,1,
12:06:00.063,1633.881,ACK_ALINDI,42,1,
12:06:00.063,1633.881,SEND,43,1,
12:06:00.064,1635.015,ACK_ALINDI,43,1,
12:06:00.064,1635.015,SEND,44,1,
12:06:00.065,1635.646,ACK_ALINDI,44,1,
12:06:00.065,1635.646,SEND,45,1,
12:06:00.066,1636.526,ACK_ALINDI,45,1,
12:06:00.066,1636.526,SEND,46,1,
12:06:00.067,1637.28,ACK_ALINDI,46,1,
12:06:00.067,1637.28,SEND,47,1,
12:06:00.067,1637.736,ACK_ALINDI,47,1,
12:06:00.067,1637.736,SEND,48,1,
12:06:00.067,1637.736,ACK_ALINDI,48,1,
12:06:00.067,1637.736,SEND,49,1,
12:06:00.069,1639.427,ACK_ALINDI,49,1,
12:06:00.069,1639.427,SEND,50,1,
12:06:00.070,1640.446,ACK_ALINDI,50,1,
12:06:00.070,1640.446,SEND,51,1,
12:06:00.071,1641.178,ACK_ALINDI,51,1,
12:06:00.071,1641.178,SEND,52,1,
12:06:00.072,1642.388,ACK_ALINDI,52,1,
12:06:00.072,1642.388,SEND,53,1,
12:06:00.072,1642.997,ACK_ALINDI,53,1,
12:06:00.072,1642.997,SEND,54,1,
12:06:00.072,1642.997,ACK_ALINDI,54,1,
12:06:00.072,1642.997,SEND,55,1,
12:06:00.075,1645.228,ACK_ALINDI,55,1,
12:06:00.075,1645.228,SEND,56,1,
12:06:00.076,1646.246,ACK_ALINDI,56,1,
12:06:00.076,1646.246,SEND,57,1,
12:06:00.078,1648.272,ACK_ALINDI,57,1,
12:06:00.078,1648.272,SEND,58,1,
12:06:00.078,1648.272,ACK_ALINDI,58,1,
12:06:00.078,1648.272,SEND,59,1,
12:06:00.080,1650.563,ACK_ALINDI,59,1,
12:06:00.080,1650.563,SEND,60,1,
12:06:00.082,1653.061,ACK_ALINDI,60,1,
12:06:00.082,1653.061,SEND,61,1,
12:06:00.085,1655.24,ACK_ALINDI,61,1,
12:06:00.085,1655.24,SEND,62,1,
12:06:00.086,1656.404,ACK_ALINDI,62,1,
12:06:00.086,1656.404,SEND,63,1,
12:06:00.086,1656.404,ACK_ALINDI,63,1,
12:06:00.086,1656.404,SEND,64,1,
12:06:00.087,1657.34,ACK_ALINDI,64,1,
12:06:00.087,1657.34,SEND,65,1,
12:06:00.088,1659.014,ACK_ALINDI,65,1,
12:06:00.088,1659.014,SEND,66,1,
12:06:00.088,1659.014,ACK_ALINDI,66,1,
12:06:00.088,1659.014,SEND,67,1,
12:06:00.090,1660.23,ACK_ALINDI,67,1,
12:06:00.090,1660.23,SEND,68,1,
12:06:00.090,1660.873,ACK_ALINDI,68,1,
12:06:00.090,1660.873,SEND,69,1,
12:06:00.092,1662.364,ACK_ALINDI,69,1,
12:06:00.092,1662.364,SEND,70,1,
12:06:00.092,1663.083,ACK_ALINDI,70,1,
12:06:00.092,1663.083,SEND,71,1,
12:06:00.092,1663.083,ACK_ALINDI,71,1,
12:06:00.092,1663.083,SEND,72,1,
12:06:00.096,1667.006,ACK_ALINDI,72,1,
12:06:00.096,1667.006,SEND,73,1,
12:06:00.099,1669.61,ACK_ALINDI,73,1,
12:06:00.099,1669.61,SEND,74,1,
12:06:00.101,1671.359,ACK_ALINDI,74,1,
12:06:00.101,1671.359,SEND,75,1,
12:06:00.101,1671.359,ACK_ALINDI,75,1,
12:06:00.102,1672.63,SEND,76,1,
12:06:00.103,1673.515,ACK_ALINDI,76,1,
12:06:00.103,1673.515,SEND,77,1,
12:06:00.104,1674.325,ACK_ALINDI,77,1,
12:06:00.104,1674.325,SEND,78,1,
12:06:00.105,1675.267,ACK_ALINDI,78,1,
12:06:00.105,1675.267,SEND,79,1,
12:06:00.105,1675.94,ACK_ALINDI,79,1,
12:06:00.105,1675.94,SEND,80,1,
12:06:00.106,1676.249,ACK_ALINDI,80,1,
12:06:00.106,1676.249,SEND,81,1,
12:06:00.106,1676.249,ACK_ALINDI,81,1,
12:06:00.106,1676.249,SEND,82,1,
12:06:00.106,1676.249,ACK_ALINDI,82,1,
12:06:00.106,1676.249,SEND,83,1,
12:06:00.108,1678.385,ACK_ALINDI,83,1,
12:06:00.108,1678.385,SEND,84,1,
12:06:00.109,1679.834,ACK_ALINDI,84,1,
12:06:00.109,1679.834,SEND,85,1,
12:06:00.111,1681.975,ACK_ALINDI,85,1,
12:06:00.111,1681.975,SEND,86,1,
12:06:00.111,1681.975,ACK_ALINDI,86,1,
12:06:00.111,1681.975,SEND,87,1,
12:06:00.113,1683.874,ACK_ALINDI,87,1,
12:06:00.113,1683.874,SEND,88,1,
12:06:01.623,3193.772,TIMEOUT,88,1,
12:06:01.623,3193.772,RETRANSMIT,88,2,
12:06:01.629,3199.954,ACK_ALINDI,88,2,
12:06:01.629,3199.954,SEND,89,1,
12:06:01.631,3201.267,ACK_ALINDI,89,1,
12:06:01.631,3201.267,SEND,90,1,
12:06:01.631,3201.267,ACK_ALINDI,90,1,
12:06:01.631,3201.267,SEND,91,1,
12:06:01.631,3201.267,ACK_ALINDI,91,1,
12:06:01.634,3204.467,SEND,92,1,
12:06:01.638,3208.837,ACK_ALINDI,92,1,
12:06:01.639,3209.996,SEND,93,1,
12:06:01.645,3215.389,ACK_ALINDI,93,1,
12:06:01.645,3215.389,SEND,94,1,
12:06:01.649,3219.535,ACK_ALINDI,94,1,
12:06:01.649,3219.535,SEND,95,1,
12:06:01.649,3220.098,ACK_ALINDI,95,1,
12:06:01.649,3220.098,SEND,96,1,
12:06:01.649,3220.098,ACK_ALINDI,96,1,
12:06:01.649,3220.098,SEND,97,1,
12:06:01.651,3221.608,ACK_ALINDI,97,1,
12:06:01.651,3221.608,SEND,98,1,
12:06:01.651,3221.608,ACK_ALINDI,98,1,
12:06:01.651,3221.608,SEND,99,1,
12:06:01.651,3221.608,ACK_ALINDI,99,1,
12:06:01.651,3221.608,SEND,100,1,
12:06:01.651,3221.608,ACK_ALINDI,100,1,
12:06:01.651,3221.608,SEND,101,1,
12:06:01.651,3221.608,ACK_ALINDI,101,1,
12:06:01.651,3221.608,SEND,102,1,
12:06:01.653,3223.844,ACK_ALINDI,102,1,
12:06:01.653,3223.844,SEND,103,1,
12:06:01.654,3224.504,ACK_ALINDI,103,1,
12:06:01.654,3224.504,SEND,104,1,
12:06:01.655,3225.58,ACK_ALINDI,104,1,
12:06:01.656,3226.639,SEND,105,1,
12:06:01.657,3227.21,ACK_ALINDI,105,1,
12:06:01.657,3227.21,SEND,106,1,
12:06:01.658,3228.243,ACK_ALINDI,106,1,
12:06:01.658,3228.243,SEND,107,1,
12:06:01.658,3228.991,ACK_ALINDI,107,1,
12:06:01.658,3228.991,SEND,108,1,
12:06:01.659,3229.626,ACK_ALINDI,108,1,
12:06:01.659,3229.626,SEND,109,1,
12:06:01.666,3236.659,ACK_ALINDI,109,1,
12:06:01.667,3237.592,SEND,110,1,
12:06:01.667,3237.592,ACK_ALINDI,110,1,
12:06:01.667,3237.592,SEND,111,1,
12:06:03.173,4743.539,TIMEOUT,111,1,
12:06:03.173,4744.046,RETRANSMIT,111,2,
12:06:03.174,4745.097,ACK_ALINDI,111,2,
12:06:03.174,4745.097,SEND,112,1,
12:06:03.178,4748.362,ACK_ALINDI,112,1,
12:06:03.178,4748.362,SEND,113,1,
12:06:03.180,4750.381,ACK_ALINDI,113,1,
12:06:03.180,4750.381,SEND,114,1,
12:06:03.200,4770.431,ACK_ALINDI,114,1,
12:06:03.200,4770.431,SEND,115,1,
12:06:03.201,4771.809,ACK_ALINDI,115,1,
12:06:03.201,4771.809,SEND,116,1,
12:06:03.202,4772.67,ACK_ALINDI,116,1,
12:06:03.202,4772.67,SEND,117,1,
12:06:03.202,4772.67,ACK_ALINDI,117,1,
12:06:03.202,4772.67,SEND,118,1,
12:06:03.202,4772.67,ACK_ALINDI,118,1,
12:06:03.202,4772.67,SEND,119,1,
12:06:03.203,4773.852,ACK_ALINDI,119,1,
12:06:03.203,4773.852,SEND,120,1,
12:06:03.204,4774.556,ACK_ALINDI,120,1,
12:06:03.204,4774.556,SEND,121,1,
12:06:03.204,4774.556,ACK_ALINDI,121,1,
12:06:03.204,4774.556,SEND,122,1,
12:06:03.204,4774.556,ACK_ALINDI,122,1,
12:06:03.204,4774.556,SEND,123,1,
12:06:03.204,4774.556,ACK_ALINDI,123,1,
12:06:03.204,4774.556,SEND,124,1,
12:06:03.204,4774.556,ACK_ALINDI,124,1,
12:06:03.204,4774.556,SEND,125,1,
12:06:03.204,4774.556,ACK_ALINDI,125,1,
12:06:03.204,4774.556,SEND,126,1,
12:06:03.210,4780.146,ACK_ALINDI,126,1,
12:06:03.210,4780.146,SEND,127,1,
12:06:03.213,4783.243,ACK_ALINDI,127,1,
12:06:03.213,4783.243,SEND,128,1,
12:06:03.217,4787.269,ACK_ALINDI,128,1,
12:06:03.217,4787.269,SEND,129,1,
12:06:03.217,4787.571,ACK_ALINDI,129,1,
